,review_id,course_id,course_name
219,8475,5079,[POLS W4445] Comparative Politics of the Middle East and North Africa
220,8476,2749,[MDES W1610] Elementary Hindi-Urdu I
221,8478,2141,[HIST BC1062] Introduction to the Later Middle Ages: 1050-1450
222,8479,2750,Senior Thesis in Non-US Topic
223,8481,1007,[HIST BC3802] Modern South Asia
224,8482,4453,[ECON W2261] Introduction to Accounting and Finance
225,8483,3379,[C1010] University Writing
226,8484,517,[W4209] Game Theory and Political Theory
227,8485,2751,Myth & Literature
228,8486,73,[MATH V1101] Calculus I
229,8488,2752,[1040] 1040
230,8489,1459,[C1403] General Chemistry I
231,8490.0,,
232,8491,2743,[HIST W4582] Looking at Nature in U.S. History - 1800-present
233,8492,2721,[HUMA W1123] Masterpieces of Western Music (Music Humanities)
234,8493,1822,[PHIL G4501] Epistemology
235,8494,1553,Spanish 1202
236,8495,2753,[PHIL V3260] Kierkegaard
237,8496,1280,[CLLT V3132] Classical Myth
238,8497,505,[POLS W4321] Constitutional Law of Presidential-Congressional Relations
239,8498,2722,[APAM 1601] Introduction to Computational Math and Physics
240,8499,1633,[HIST W3441] Making of the Modern American Landscape
241,8500,1352,Sociological Imagination
242,8501,425,[ASTR 1234] The Universal Timekeeper
243,8502,542,[ENGL W3335] Shakespeare I
244,8503,137,[HUMA W1121] Masterpieces of Western Art (Art Humanities)
245,8504,4132,[W4660] Topics in Economics Theory and Policy
246,8505.0,,
247,8506,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
248,8507,1889,[ENGL W3336] Shakespeare II
249,8508,3801,[G4421] Seminar: Topics On Problems of Emerging Market Economies
250,8509,2637,[HIST W3800] Gandhi's India
251,8510,1908,[W1105] Principles of Economics
252,8511,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
253,8512,3379,[C1010] University Writing
254,8514,2757,GS fiction workshop
255,8516,1808,"[PHYS C1402] Intro to Electricity, Magnetism and Optics"
256,8517,814,"[PSYC W1010] Mind, Brain, and Behavior"
257,8518,2154,Dinosaurs and the History of Life
258,8519,3354,[AHUM V3400] Colloquium on Major Texts
259,8520,3379,[C1010] University Writing
260,8521,2758,[ECPH W4950] Economics/Philosophy Seminar
261,8522,445,[FYSB BC1270] The Americas
262,8523,568,[AHIS BC1001] Introduction to Art History I
263,8524,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
264,8526.0,,
265,8527,770,[V3000] Buddhist Ethics
266,8530,413,Intermediate II
267,8531,3379,[C1010] University Writing
268,8532,2637,[HIST W3800] Gandhi's India
269,8534,897,[POLS BC1014] Political Theory II
270,8536,3379,[C1010] University Writing
271,8537,2203,[C1404] General Chemistry II
272,8538,38,[ECON W4228] Urban Economics
273,8539,1205,Environmental Science
274,8540,859,[PHIL BC1003] Philosophy and Human Existence
275,8541,236,[PHIL V1401] Elementary Logic
276,8542,2761,Intro to French 1
277,8544,4020,[ASCM V2003] Introduction to Islamic Civilization
278,8545,675,[PSYC BC1101] Statistics
279,8546,2763,History of Dance Part II
280,8548,346,[PSYC W2280] Introduction to Developmental Psychology
281,8549,2764,Calc IS & IIS
282,8550,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
283,8551,714,third year conversation
284,8552,290,Advanced Grammar and Composition
285,8553,2765,[W3491] Latin American Humanities II
286,8554,2766,[PSYC W1420] Experimental Psych: Human Behavior
287,8555,38,[ECON W4228] Urban Economics
288,8557,2767,[COMS E6998] Topics in Computer Science: Computational Aspects of Geometric Design
289,8558,992,[BIOL C2006] Introduction to Molecular and Cellular Biology II
290,8559,2769,Comprehensive Intermediate Spanish
291,8560,3601,[PSYC W1001] Science of Psychology
292,8561,3674,[HIST W3661] Latin American Civilization II
293,8563,3545,[C1101] Contemporary Civilization
294,8564,4125,[ELEN 1201] Intro to Electrical Engineering
295,8565,3633,[W3213] Intermediate Macroeconomics 
296,8566.0,,
297,8568,3379,[C1010] University Writing
298,8570,658,General Review
299,8571,2448,[HIST W3628] History of the State of Israel
300,8572,2331,Second Year Russian I
301,8573,2773,Diatonic
302,8574,137,[HUMA W1121] Masterpieces of Western Art (Art Humanities)
303,8575,2628,History of Literary Criticism II
304,8576,3379,[C1010] University Writing
305,8577,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
306,8578,2774,Islam and Europe
307,8579,242,[SPAN V1102] Elementary Spanish II
308,8580,3379,[C1010] University Writing
309,8581,343,[V3201] The Arts of China
310,8582,2775,[AHIS W4443] Baroque and Rococo Architecture 1600-1750
311,8583,731,[PSYC BC1127] Developmental Psychology
312,8584,2776,Methods of elem school teaching
313,8585,893,Hinduism
314,8586,2637,[HIST W3800] Gandhi's India
315,8587,1021,Evaluation of Evidence
316,8588,2777,Intro to Fiction
317,8589,1352,Sociological Imagination
318,8591,2088,[PSYC W1610] Statistics for Behavioral Scientists
319,8592,2778,Religion and American Culture II
320,8593,2138,"SPAN, X3143 Literature of Spanish Carribean"
321,8594,3379,[C1010] University Writing
322,8595.0,,
323,8596.0,,
324,8597,310,[W3001] Structure and Style I
325,8598,2779,Intro to Comparative Literature
326,8599,3545,[C1101] Contemporary Civilization
327,8600,2724,[CLEN W4560] Backgrounds to Contemporary Theory
328,8602,165,US Latino Literature
329,8603,1808,"[PHYS C1402] Intro to Electricity, Magnetism and Optics"
330,8604,993,"[E1201] Design of Bridges, Buildings, and Spacecraft"
331,8606,3379,[C1010] University Writing
332,8607,2598,[COMS W1003] Intro to Computer Science- Programming in C
333,8608,357,Elementary German
334,8609,1908,[W1105] Principles of Economics
335,8611,2781,[HIST W3432] U.S. in the Era of Civil War and Reconstruction
336,8612,3674,[HIST W3661] Latin American Civilization II
337,8613,2782,"Intro to Music, I and II"
338,8614,2783,Junior Colloquium (Renaissance) and 17th-Century Poetry
339,8615,2784,"The Enchanted Imagination, The Summons to Adventure"
340,8616,2442,Russian 1201x
341,8617,2785,Third-Year Russian I and II
342,8618,2786,Free Verse and Poetic Forms
343,8619,675,[PSYC BC1101] Statistics
344,8620,3545,[C1101] Contemporary Civilization
345,8621,760,Mozart
346,8622,2787,Primates
347,8623,2721,[HUMA W1123] Masterpieces of Western Music (Music Humanities)
348,8624,3797,[ANTH V1002] The Interpretation Of Culture
349,8625,1908,[W1105] Principles of Economics
350,8626,2788,Utopias Seminar
351,8627,2336,Reading and Writing 20th C. Hispanic Lit
352,8628,1902,[POLS V1501] Introduction to Comparative Politics
353,8629,1796,[ANTH V1008] The Rise of Civilization
354,8630,776,[POLS W3100] Justice
355,8631,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
356,8632,1908,[W1105] Principles of Economics
357,8633,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
358,8634,2789,[ENGL W3219] Modern Poetry I
359,8635,425,[ASTR 1234] The Universal Timekeeper
360,8636,2790,[HIST W3912] Domestic Animals and Human History
361,8637,2790,[HIST W3912] Domestic Animals and Human History
362,8638,125,[SPAN C1202] Intermediate Spanish II
363,8639,3545,[C1101] Contemporary Civilization
364,8640,137,[HUMA W1121] Masterpieces of Western Art (Art Humanities)
365,8641,2791,EESC 2300 Life system
366,8642,1633,[HIST W3441] Making of the Modern American Landscape
367,8643,413,Intermediate II
368,8644,2039,[APPH 3300] Applied Electromagnetism
369,8645,2721,[HUMA W1123] Masterpieces of Western Music (Music Humanities)
370,8646,3545,[C1101] Contemporary Civilization
371,8647,2792,Topics in Biology
372,8649,2878,American Literature 1870 - 1940
373,8650,2056,[ASTR 1404] Beyond the Solar System
374,8651,818,[POLS BC3335] Mass Media and American Democracy
375,8652,2794,Passion and Disillusionment
376,8653,2795,Archetypal Figures in Contemporary Women's Fiction
377,8654,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
378,8655,2796,17th Century Painting and Sculpture
379,8658,3633,[W3213] Intermediate Macroeconomics 
380,8659,454,Narrative Forms
381,8660,1993,Stochastic Modeling
382,8661,3072,[MATH V3027] Ordinary Differential Equations
383,8662,3545,[C1101] Contemporary Civilization
384,8663,881,[W3265] Latin American Literature in Translation
385,8664,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
386,8665,3379,[C1010] University Writing
387,8666,2448,[HIST W3628] History of the State of Israel
388,8667,1621,Public Speaking
389,8668,2797,[POLS W1201] Introduction to American Politics
390,8670,2797,[POLS W1201] Introduction to American Politics
391,8671,2798,History of the English Novel
392,8672,1975,Essay Writing (Journalism)
393,8673,818,[POLS BC3335] Mass Media and American Democracy
394,8674,776,[POLS W3100] Justice
395,8675,125,[SPAN C1202] Intermediate Spanish II
396,8676,2789,[ENGL W3219] Modern Poetry I
397,8677,1633,[HIST W3441] Making of the Modern American Landscape
398,8679,2437,General Chemistry Lab
399,8680,2799,[PHIL G9131] Aristotle
400,8681,2724,[CLEN W4560] Backgrounds to Contemporary Theory
401,8682,2800,Sociology of the Arts
402,8683,2801,Politics of International Economic Relations
403,8684,1491,[POLS W3962] International Politics Seminar: Foreign Policy and Decision-making
404,8685,2489,[RELI V2660] Science & Religion East & West
405,8686,3601,[PSYC W1001] Science of Psychology
406,8687,2803,[HSEA W3881] History of Modern China II
407,8688,2804,[BUSI 3021] Marketing
408,8689,956,[POLS W3245] Race and Ethnicity in American Politics
409,8690,2805,W4210 Supply Chain Management 
410,8691,3545,[C1101] Contemporary Civilization
411,8692,1913,[V3025] Financial Economics
412,8693,282,[C3444] Organic Chemistry II
413,8694,1621,Public Speaking
414,8695,1280,[CLLT V3132] Classical Myth
415,8696,1352,Sociological Imagination
416,8697,2807,[PHIL V3353] European Social Philosophy
417,8698,1796,[ANTH V1008] The Rise of Civilization
418,8700,3545,[C1101] Contemporary Civilization
419,8701,924,[PSYC BC1001] Intro to Psychology
420,8702,1902,[POLS V1501] Introduction to Comparative Politics
421,8703,947,Jazz
422,8704,137,[HUMA W1121] Masterpieces of Western Art (Art Humanities)
423,8705,1908,[W1105] Principles of Economics
424,8706,3379,[C1010] University Writing
425,8707,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
426,8708,2808,Adv. Grammer and Comp I
427,8709,978,[PSYC BC1117] Behavioral Neuroscience
428,8710,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
429,8714,825,[ENGL W3230] Joyce
430,8715,260,[HIST W1002] Ancient History: Mesopotamia and Anatolia
431,8716,1016,Islam
432,8717.0,,
433,8718,2811,Intro to Stochastic Models IEOR 3106
434,8719,547,[MATH V2010] Linear Algebra
435,8720,1677,Intermediate Conversation
436,8721,2812,Intro to History and Historiography
437,8722,61,[HIST BC1052] Survey of American Civilization since the Civil War
438,8723,2813,W4315-Linear Regression
439,8724,4601,[HUMA C1001] Masterpieces of Western Literature and Philosophy (Literature Humanities)
440,8725,916,20th Century Hispanic Literature
441,8726,2814,20th Century Composition
442,8728,2816,The Idea of Music in German Literature
443,8729,346,[PSYC W2280] Introduction to Developmental Psychology
444,8731,2818,[HIST W3719] History of the Modern Middle East
445,8733,137,[HUMA W1121] Masterpieces of Western Art (Art Humanities)
446,8734,2770,"Topics in Asian Civ, Gandhi's India"
447,8735,3379,[C1010] University Writing
448,8736,1238,Spanish 2
